karmn,ra_gaiadr3,dec_gaiadr3,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],vsini,e_vsini,E_vsini
J00051+457,1.3009212651,45.78589435046,3780.048326130653,33.78841013065312,40.065229869346695,4.695837611557789,0.03679411155778922,0.011581684442210083,0.0290048394472361,0.0395826619272361,0.0551182851127639,3.1892185396984924,0.15769346769849246,0.48318376030150745
J00067-075,1.67635042594,-7.54647532526,3073.2090532663315,26.583637266331607,18.346182733668684,5.100579152763819,0.09074395276381875,0.03639596723618066,0.0638932383417085,0.1494131845017084,0.0840024424582914,3.021435812562814,0.658440060562814,0.331211655437186
J00162+198E,4.07065062194,19.86069229774,3362.4194065326637,25.190886532663626,33.749081467336055,4.897983788442211,0.06290961644221049,0.020934467557789382,0.0699559026130653,0.1704448611730653,0.0236726901869347,2.129845128643216,0.21643865664321615,0.2987063193567838
J00183+440,4.61322625756,44.02478674399,3708.862538190955,42.88152219095491,15.391485809044752,4.799263118090453,0.07312187809045323,0.025232281909547183,-0.3256448595979899,0.1665335004020101,0.06281152639798998,2.0156650984924624,0.29773094249246235,0.2037131455075376
J00184+440,4.62530068122,44.02874451664,3250.9431030150754,12.99810301507523,36.279076984924814,4.963823351758794,0.02763548775879432,0.04606969224120583,-0.1991233516030151,0.1004516243969849,0.08778535360301509,2.819669992964824,0.24020635696482362,0.21598216303517637
J00286-066,7.16297021421,-6.66721925319,3480.5791959798994,22.958123979899483,35.12668002010059,4.787060949246231,0.02926862524623086,0.07978353075376887,0.0178681403015075,0.1364342563015075,0.028203264498492402,1.8242748452261308,0.2635269852261308,0.43450695477386914
J00389+306,9.75406376462,30.61633814604,3620.640457788945,39.99944978894473,14.65742621105528,4.741412010050251,0.02659801805025097,0.06924514994974906,-0.1398616580904522,0.08614395670954769,0.0728137730904522,2.394745335678392,0.24630561167839193,0.18576898432160815
J00570+450,14.2651559511,45.08575010285,3411.559793969849,21.58140196984914,28.79941003015074,4.872992780904522,0.06438718090452245,0.02709543509547796,-0.0446992182160803,0.1056614809839197,0.043767046854080296,2.706057140201005,0.18313486820100477,0.24325973179899485
J01013+613,15.3369003106,61.362137735,3568.2717326633165,42.987324663316485,15.03462733668357,4.785941909547739,0.02465578154773862,0.06021045045226181,-0.1984256127839195,0.0616416264160804,0.07559364774391962,2.926584927135678,0.1861078071356781,0.28002243286432194
J01025+716,15.6590118756,71.67812049454,3715.42976080402,45.13278080402006,19.251623195979846,4.707506951256281,0.03086653525628158,0.034905936743719224,-0.0024588759798995,0.0802877246601005,0.0596078006598995,1.9947313075376885,0.3541435115376885,0.3248753124623116
J01026+623,15.66895082068,62.34545122289,3764.136416080402,33.7815040804021,45.64593591959829,4.687711473869347,0.024839085869346356,0.025031766130653388,0.1080630714221105,0.023208277182110493,0.07266390857788951,3.7008396663316585,0.1508189423316586,0.4297546816683413
J01048-181,16.23022246918,-18.12244895479,3142.4102587939697,32.619610793969514,11.538981206030257,5.051076380904522,0.08423309290452252,0.04273837909547762,0.0353783147236181,0.1004728895236181,0.1182663884763818,2.275341350251256,0.4774337302512561,0.35587152574874414
J01125-169,18.13325425371,-16.99615487248,3136.8689417085425,27.91324570854249,18.39982629145743,5.015160973869347,0.02531994986934638,0.07306212613065366,-0.174222455201005,0.11489967039899501,0.16065216084100498,4.5408657085427135,0.35208758854271327,0.21830176345728614
J01339-176,23.49187379987,-17.64077346314,3268.150422110553,14.939942110552693,24.767893889446896,4.889800897487437,0.014226809487436931,0.07437838251256235,-0.0746724036180904,0.13438708598190952,0.0748720052020903,4.819443814070352,0.35030974207035204,0.2625498619296476
J01433+043,25.83219667036,4.31825535643,3569.1912542713567,39.66722227135688,15.601737728643457,4.779556026633166,0.029147114633166105,0.0679206533668335,-0.1435205991658291,0.0731373416341709,0.0678133443658291,2.84534447638191,0.14718266838190974,0.22620060361809013
J01518+644,27.96550010712,64.4341179615,3606.4586874371857,13.70411543718592,47.0820805628141,4.7238874160804025,0.021053816080402576,0.05339950391959736,0.0152817154773869,0.0492259051973869,0.044611250602613096,3.0181796407035177,0.14912713270351796,0.3345056112964824
J02002+130,30.05898704765,13.04407120112,3119.874291959799,27.055371959798777,20.04934404020105,5.020808467336684,0.03872956333668398,0.05246106066331624,-0.0767412543718593,0.18213398242814072,0.1140357892918592,5.678177946231156,0.3808364462311564,0.20215609776884325
J02015+637,30.39465528965,63.76957862948,3561.960984924623,40.46621692462304,14.440403075377162,4.749836754773869,0.027619338773869018,0.06731599322613047,-0.0163656447738693,0.1105875912261307,0.0431718994938693,2.3380705638190955,0.1446926838190956,0.2623375441809048
J02070+496,31.76767495537,49.64350411033,3375.292781407036,10.13752140703582,50.25657059296418,4.9091833407035175,0.07200871270351783,0.013415683296482683,-0.1178439335376884,0.0748062128623116,0.0848553718176884,3.885816681909548,0.29701135790954813,0.19205285009045214
J02088+494,32.22505236302,49.44771631278,3229.329068844221,15.564724844221018,44.6017351557789,4.849403948241206,0.02491139624120553,0.04207901175879414,0.0417895805527638,0.060139918552763696,0.0869326058472362,28.55289368341709,0.5387763634170888,1.0795482365829123
J02123+035,33.07959930325,3.56738515497,3949.638322613065,72.45560261306537,28.23840138693504,4.730209652763819,0.07107691676381922,0.024404571236180672,-0.3541154243718593,0.10431507002814072,0.12074282957185928,1.4676374552763818,0.1354710792763818,0.19816677272361827
J02222+478,35.56244783525,47.88021328768,3976.6029386934674,49.40430269346734,46.908589306532576,4.669381840703518,0.029927312703518005,0.02873499129648227,0.0820954682914573,0.08487117153145719,0.057956645308542706,2.680911489949749,0.34269230194974876,0.387328198050251
J02336+249,38.40513666109,24.92413187712,3184.9441201005025,17.65257210050231,23.614547899497666,4.962470070351759,0.029047190351758623,0.08214432564824126,-0.0340026300502512,0.4013860443497488,0.0871974471702512,5.987965646231156,0.3657841062311551,0.28359709376884457
J02358+202,38.97329569549,20.21926027726,3666.4092899497487,8.382393949748803,54.609810050251326,4.699048623115578,0.02374970311557778,0.03619937688442221,0.063910576281407,0.04357663876140701,0.04326057771859289,2.956903212562814,0.11347204856281401,0.4112532034371861
J02362+068,39.07167733324,6.87808989817,3401.6250030150754,26.255879015075607,37.55497698492445,4.872831959798995,0.05693841979899439,0.03662233620100519,0.0309190025125627,0.16310637611256268,0.022991512007437195,2.110272383919598,0.19710146791959793,0.3163509400804019
J02442+255,41.06888178038,25.52175109435,3476.399479396985,35.951943396984916,16.82689660301503,4.8170943959799,0.031018675979900046,0.0649116040201001,-0.1280775042331658,0.11212731336683421,0.04951023743316581,2.4133646753768843,0.22687185137688415,0.23016250462311572
J02519+224,42.97593728423,22.45782391609,3202.94335678392,19.999452783919878,36.98677121607989,4.85387848241206,0.027181150412060262,0.036252377587939755,0.1016470961809045,0.0960357647929045,0.026098515819095502,30.136032809045226,0.9362048090452255,0.33023639095477364
J02565+554W,44.14913665815,55.43522737414,4092.894181909548,62.357621909548016,54.7125940904516,4.668754291457287,0.049154211457286046,0.03544106454271301,0.0408389476381909,0.1091646097981909,0.1165621123618091,1.50864411959799,0.10038806759799002,0.5179572604020097
J03133+047,48.35325823821,4.77520017099,3167.8148638190955,35.19111181909557,15.31452818090429,5.013253785427136,0.0821003574271364,0.04621527057286379,0.065074362160804,0.12278133896080401,0.1200376034391959,2.0237565407035176,0.3237993367035177,0.4065649952964825
J03181+382,49.53369363538,38.24952141692,3873.266139698492,22.378463698492396,70.17737630150759,4.668844698492462,0.024412730492461954,0.033932321507538,0.1720233546733668,0.09605221987336679,0.0576041381266332,2.5622663110552764,0.3124609110552763,0.4129731249447235
J03213+799,50.35121497817,79.9685443981,3644.187307537688,41.61086753768814,14.330732462311971,4.742154907537688,0.02713777953768748,0.07197347246231178,-0.192017308643216,0.048609982156784,0.094432311483216,2.7787059236180904,0.23254321561809022,0.2145546963819096
J03217-066,50.4469609119,-6.67360462856,3604.3624050251256,9.823413025125774,53.22054297487466,4.721445921105528,0.020575265105527762,0.05078946689447239,0.0350371583919597,0.0408290635679596,0.0395788288080403,3.8158003316582914,0.17803172365829134,0.32152362834170845
J03463+262,56.58583316845,26.21463311223,4034.851142713568,48.8824627135682,55.31192928643168,4.666690537688442,0.023058273688442377,0.035972254311557705,0.1550605263316583,0.13782026289165827,0.058319545668341716,3.029217397989949,0.3626519139899491,0.394090382010051
J03473-019,56.84805849384,-1.97342558103,3432.7982326633164,27.713452663316275,36.65989933668379,4.796821802512563,0.02700964251256277,0.06842633348743732,0.0563298826130654,0.1455078238130654,0.058607264986934596,10.232544494974874,0.7170942149748747,0.1163565050251254
J03531+625,58.29378718241,62.56771136911,3582.195,42.40991200000008,18.758467999999993,4.7972716959799,0.03482321597990001,0.07442138402010023,-0.1987986709085427,0.1146388958914572,0.056216045308542795,2.284459340201005,0.22017575620100516,0.19418398779899482
J04153-076,63.82965602087,-7.67090338261,3339.984959798995,18.8042557989952,45.62988020100511,4.892926883919598,0.027814259919598072,0.09025557608040202,0.0167240048241205,0.4122124748241205,0.0512147071758795,7.057444787939699,0.41384157193969884,0.2715391400603018
J04225+105,65.63439108319,10.52203303307,3509.1935507537687,26.629918753768834,25.075537246231306,4.739101045226131,0.0320059812261313,0.0435136867738688,0.060933004522613,0.06359702314501291,0.035415172917387,2.122370033668342,0.22098851366834205,0.3251019543316582
J04290+219,67.25019487313,21.92347532672,4285.458109547739,86.51210954773887,39.9704304522611,4.663630959798995,0.04728770379899494,0.038424984201004264,0.2021769385427135,0.3872502097427135,0.0679132918572864,2.9060330849246228,0.7860073969246226,0.30829293107537703
J04311+589,67.80919062833,58.96797997155,3311.5997788944724,26.795674894472086,29.22128510552784,4.891505695477387,0.068659351477387,0.01934969252261265,0.0850199781407035,0.1464216584207035,0.015853314459296497,2.086253206030151,0.3758631340301508,0.2823847019698493
J04376+528,69.42278387138,52.89150297231,4148.195738693467,62.56927069346739,41.02242130653303,4.660094593467337,0.0223609054673366,0.03557732253266277,-0.0520729415075376,0.07833057249246239,0.08871854934753759,2.804593789447236,0.38236372544723585,0.40825620255276407
J04376-110,69.42341319622,-11.03975218735,3674.057490954774,42.56863895477409,12.494661045226167,4.718572017085427,0.019517529085427476,0.05536448291457319,-0.0842994024120603,0.0646271603879397,0.07673654528406029,2.602728972361809,0.20613805236180882,0.264993211638191
J04429+189,70.73548173808,18.95320292639,3642.045487437186,6.266247437185939,56.2204085628141,4.717229820100503,0.031825484100502344,0.036060955899497316,0.0089535971859296,0.0575371358259295,0.0514750942540703,2.908578634673366,0.11250840267336626,0.3681052853266338
J04429+214,70.73293563415,21.47356618654,3429.172738190955,20.73061819095483,32.67611380904509,4.853064115577889,0.07636415557788911,0.02024364442211013,0.0133121103015075,0.0945539401415074,0.028296446778492496,2.7023425246231154,0.1529470286231156,0.24398933937688438
J04520+064,73.02457095864,6.47519220607,3378.0733879396985,25.72985593969861,29.731852060301662,4.864604631155779,0.06767185515577889,0.015837168844220706,0.0553088337185929,0.10736886643859281,0.02295386028140709,2.494464320603015,0.18686628060301524,0.24719928339698516
J04538-177,73.4601565715,-17.776283503,3664.138929648241,47.020941648241205,13.427670351758934,4.767207627135679,0.04138993113567935,0.06017580086432073,-0.3124320752763819,0.05708613672361801,0.1247349136763819,2.28154553718593,0.2649112331859298,0.19552707081406995
J04588+498,74.71150190902,49.84878426248,4079.919522613065,57.307758613064834,55.42800138693474,4.663698266331658,0.028717106331657583,0.034265517668342405,0.1701210470854271,0.184093685573427,0.061479389714572785,3.1628711959799,0.5347616639798995,0.2292622120201
J05019+011,75.48623384039,1.14484712281,3230.9156145728643,25.799566572864478,25.019853427135786,4.906032642211055,0.0613690422110551,0.0326861177889457,0.0607872951758793,0.2682444959758793,0.0511697640241207,10.063415668341708,0.4346184683417089,0.29089621165829094
J05019-069,75.48680521252,-6.94858740903,3180.296440201005,18.53066020100505,18.840339798995046,4.989720953266332,0.04187324926633185,0.06503589073366811,-0.13686842,0.133572486,0.136904960552,4.049196143216081,0.2884389832160812,0.2072398727839193
J05033-173,75.83262223514,-17.37551008567,3404.142269849246,26.15204584924595,23.82396215075414,4.888974266331658,0.05706821833165865,0.029574205668342124,-0.2151363392462311,0.07604176795376888,0.07682995444623111,2.53906747839196,0.26886961439196,0.1960339816080401
J05062+046,76.55399399668,4.65715172757,3170.2883100502518,21.696326050251628,34.21544994974829,4.859227763819096,0.03256483981909586,0.04614420418090415,0.1661871479396985,0.1182664387396985,0.03640931886030152,29.809761939698493,0.32005805969849277,0.5048720603015084
J05127+196,78.17726253072,19.66672536075,3635.7800095477382,40.22785754773804,14.111270452261579,4.724633301507538,0.020802845507537526,0.0688486064924625,-0.1225597193869347,0.09184066941306519,0.0653606598669347,2.4119197854271355,0.23556518942713556,0.22646687457286463
J05280+096,81.99976842562,9.64056849358,3380.116643216081,26.886891216080585,26.06730878391909,4.907515960301507,0.05190726430150683,0.03236765969849387,-0.1340294158040201,0.1103004609959799,0.08660489604402011,2.2278481417085425,0.2792799817085425,0.26659947829145736
J05314-036,82.86754111476,-3.68652760191,3904.807281909548,39.065017909547805,61.1837180904522,4.671342157788945,0.03117112578894421,0.039296234211055214,0.2473217222110554,0.16553522221105538,0.058962673788944625,2.7332019668341707,0.31341359883417086,0.39299686116582944
J05337+019,83.43563711933,1.94471918151,3352.511892462312,10.991212462311978,61.23159553768801,4.780876623115578,0.03415242311557787,0.020806824884422426,0.0635328867437186,0.020591537943718596,0.09389525845628141,15.001012246231156,0.4151622062311553,0.3225671937688439
J05348+138,83.71660430394,13.87787924781,3411.2263567839195,20.970828783919387,33.170507216080296,4.845642381909548,0.04850207390954786,0.036189490090452026,-0.0346422679145728,0.1172712728854272,0.037839557346572794,2.3557306221105527,0.20584665411055258,0.2734675778894471
J05360-076,84.00082080162,-7.64749055072,3352.2145557788945,15.982267778894311,39.829252221105435,4.852713540201005,0.0654625122010053,0.02183985979899461,0.1081407496482412,0.1355335087682411,0.0163176759517588,1.5256395391959798,0.050780303195979926,0.5423618528040204
J05365+113,84.12911430606,11.32761830865,4139.250858291457,48.4943382914571,51.40076970854261,4.658437477386935,0.024839681386934487,0.037076734613065376,0.1297830008542713,0.14439840562227121,0.08263509994572871,3.845677195979899,0.5050079519798993,0.19218810002010045
J05366+112,84.16024229906,11.2966132947,3218.789287437186,11.353207437186029,32.64410056281395,4.935018767839196,0.02452097583919599,0.07447238016080426,-0.0311388350753769,0.3991457081246231,0.0676496465153769,6.130414998492462,0.3145590944924619,0.27925152150753796
J05415+534,85.37807337011,53.48750978877,3838.8901889447234,32.09062094472347,54.72600305527658,4.683850386432161,0.030758506432160715,0.022391985567839612,0.1204453910552763,0.032198596255276296,0.07035455414472369,3.4682695,0.17983090399999968,0.3876992440000002
J05421+124,85.54770759482,12.48235991779,3390.79966080402,24.764904804019807,41.11480319598013,4.882596584924623,0.05240638492462324,0.0363303750753774,0.0305255743718592,0.1746392439718592,0.0259461100681407,1.9659726201005023,0.41996133610050235,0.30667814789949777
J06000+027,90.0159764416,2.7063740799,3185.0932587939697,17.211910793969764,28.340181206030138,4.970124487437186,0.040091315437186026,0.039257664562813765,-0.1091229450050251,0.4138920389949749,0.0512251386050251,8.146844222110552,0.2368416781105518,0.47229189788944836
J06011+595,90.29510135819,59.59306278611,3304.2186080402007,17.5158400402006,38.55293195979948,4.917986005025125,0.059866765025125446,0.01887883097487464,-0.0171965100502512,0.1285481259497487,0.0383971314902512,2.620072155276382,0.2645244672763818,0.16962897672361787
J06024+498,90.62210758518,49.86182103676,3136.1537638190957,30.706267819095956,14.05709618090441,5.022934538693467,0.05286807469346666,0.07610351730653342,0.0503956923115578,0.1047340869515577,0.1024505476884422,2.595834310552764,0.5686617105527638,0.21249888144723617
J06103+821,92.58432174711,82.10081629101,3585.478966834171,43.255606834170976,13.500713165828984,4.763621070351759,0.031106806351758998,0.07213901764824104,-0.1458430825678391,0.0811027250321609,0.07815567476783909,2.491855634170854,0.18123616217085425,0.2053335538291461
J06105-218,92.64357908168,-21.86782311323,3856.623910552764,31.528738552764025,62.95520544723604,4.67681643718593,0.025448197185929722,0.02770052281407054,0.0419466631658291,0.0366107025858291,0.0814980472341709,2.752560971356784,0.22331443935678363,0.44210262864321637
J06246+234,96.17468890917,23.43077856957,3326.6884869346736,25.704170934673584,32.0926650653264,4.9632818165829145,0.06027625658291402,0.028351763417085785,-0.0986225027638191,0.11756895683618089,0.11930143360381901,2.8566126733668344,0.21212440136683464,0.21097594263316566
J06371+175,99.29143146488,17.56631651774,3885.114192964824,52.30978896482384,48.397447035176356,4.732416036180904,0.05062882818090397,0.04724617981909596,-0.4077035889447236,0.13086047505527643,0.10576173334472361,2.5710378085427137,0.2548486205427136,0.4335010994572861
J06396-210,99.90509624943,-21.02553280795,3269.1978497487435,16.803849748743687,33.140970251256476,4.8929654090452255,0.015693957045225027,0.0752620389547749,-0.0918467793969849,0.03943060860301509,0.09951103195698481,3.723410688442211,0.3495906644422111,0.15323521555778896
J06421+035,100.54682814138,3.58013517318,3494.245536683417,33.89140868341701,25.475399316583207,4.801171336683417,0.024864784683416907,0.08358909531658298,-0.0604804794472362,0.14024098215276382,0.0333778766872362,2.074430526633166,0.19427713063316587,0.285045801366834
J06548+332,103.70012922714,33.26640801817,3448.372689447236,24.785361447236028,29.078578552764156,4.80958652160804,0.027222633608039892,0.06701143039196022,-0.0823459670854271,0.1276109841145729,0.0488676723654271,2.236024997487437,0.2235145654874371,0.2629751625125629
J06574+740,104.35739272726,74.09057160646,3218.6368326633165,26.39735266331627,44.51373133668358,4.893894819095477,0.046999179095476684,0.04388786090452257,0.0466877258291457,0.1533025410291457,0.03727549153085429,31.233872130653268,0.9266082506532669,0.6102381093467315
J06594+193,104.87435115777,19.34487368505,3085.49231959799,41.54308359799006,10.108924402010416,5.076470105527639,0.09027442552763887,0.05364752247236115,0.1688252211055276,0.1607067535055276,0.06228813969447239,2.549820276884422,0.635745192884422,0.2711143951155779
J07033+346,105.84622747575,34.69823331245,3196.9019804020104,9.621004402010385,27.196635597989825,4.959008952261306,0.030553660261306348,0.08217072773869383,-0.0500966692462311,0.3965773467537689,0.082721983086231,5.429053413567839,0.3500907055678386,0.2309769744321608
J07044+682,106.1122482527,68.28901639536,3510.76335879397,36.39557079396991,22.47296120603005,4.773592692462312,0.026598052462312616,0.06430613553768794,-0.0145407170351758,0.1213159373648242,0.039237706195175796,2.353507,0.1445777279999998,0.2573024959999999
J07274+052,,,3402.46742160804,26.419461608039455,34.49784239196015,4.881328450251257,0.06188839425125625,0.02891573374874401,0.0087963911557788,0.1607343919557788,0.026802722764221097,2.119240393969849,0.17120912196984928,0.31491775403015065
J07287-032,112.19128658652,-3.30164700652,3491.285996482412,36.18857248241193,22.767595517588234,4.793002609547739,0.025195169547738594,0.07790883045226149,-0.0732069528693467,0.13692388913065331,0.0390594782693467,2.0947920165829146,0.18963374858291449,0.28849880741708533
J07319+362N,112.98739022538,36.228664834,3290.956792964824,11.607048964824116,36.64415103517558,4.903645942211055,0.037685978211055016,0.08113870978894511,0.0301489363316582,0.3609237691316582,0.0581610170283418,5.858526662311558,0.39998071031155824,0.20371336568844267
J07353+548,113.84028667734,54.84977307864,3571.2147236180904,43.15663161809016,18.946140381909572,4.790511331658292,0.03492867165829239,0.07621582434170815,-0.1563059312763819,0.11972464112361811,0.0782738211163819,2.174494581909548,0.1950292859095477,0.22251137809045218
J07361-031,114.02980309738,-3.11206440977,3865.125032663316,42.80802466331579,49.41989933668401,4.695637226130653,0.03847626613065369,0.0156786618693463,0.1388889225879397,0.047178018187939694,0.07515424741206031,5.284353639698493,0.2781842596984925,0.2736048603015071
J07386-212,114.67284553042,-21.22669095626,3411.0862261306534,22.26774613065345,26.666701869346525,4.883440655276382,0.06415489527638218,0.025448368723617776,-0.1506570435778894,0.0671147136221106,0.0780435649378895,2.6654676492462315,0.2191489532462314,0.23196722675376868
J07393+021,114.8453404773,2.1825730064,4087.462448743719,55.096472743719005,47.294567256280516,4.666071514572864,0.03267811457286385,0.031614853427136325,0.0932526777386935,0.1255216482986935,0.0832125274613065,2.512965115075377,0.3058015430753773,0.5043569969246229
J07472+503,116.80766643936,50.34438118151,3197.7049130653268,21.13563706532659,21.866510934673443,4.916675483919598,0.05311077991959845,0.022665356080402432,-0.1043202490251256,0.09826749497487439,0.0862158593051256,13.579129934673366,0.49127887467336606,0.18472286532663418
J07558+833,118.96345515735,83.38204366283,3161.786630653266,23.660282653266222,12.976921346733889,4.891966529145728,0.017195673145728563,0.060236670854271424,-0.1249541418090452,0.0688201717909548,0.0814532662490452,15.980036924623114,0.42933388462311406,0.2140825953768868
J07582+413,119.55420831739,41.30064250417,3329.5746271356784,28.325495135678466,22.785580864321673,4.897776427135678,0.05883658713567819,0.01799706886432162,0.0097079273366834,0.1580785573366834,0.023484625543316595,2.1278874522613065,0.30002581626130653,0.2432750557386938
J08119+087,122.9946825611,8.75040152206,3316.308686934673,18.181514934673032,38.66912506532708,4.971224927135678,0.0563866471356782,0.03803992086432206,-0.2256663469798995,0.05042674022010046,0.1582513965798995,3.613743603015076,0.1732541710150759,0.2426841009849241
J08126-215,123.17043503163,-21.55502398567,3284.048170854272,19.80259485427223,39.02773714572777,4.902730689949749,0.06386981794974922,0.02127609805025088,0.055895674562814,0.106140393402814,0.043237278637185995,2.559567086934673,0.22611451093467316,0.2441544410653269
J08161+013,124.03158305458,1.30284272698,3668.221268844221,39.788660844220885,15.33899515577923,4.7222709834170855,0.019919943417085584,0.0686425765829144,-0.1399806583919598,0.07795909640804019,0.07010931399195981,2.4149315914572864,0.24562741945728606,0.21877072854271384
J08293+039,127.34088758916,3.91894899211,3625.569433165829,11.154393165829333,52.01991083417079,4.714106012060301,0.023191800060301304,0.04151117193969789,0.0424471260804019,0.0432320044956018,0.0465231467195981,3.0499436165829144,0.1477565445829141,0.36369831141708575
J08315+730,127.88482170746,73.0639299446,3442.204381909548,24.729861909547708,36.248446090452035,4.822241236180905,0.030627964180904854,0.0684204598190945,-0.0069186361306532,0.1405151878693468,0.0292113444506532,1.965560995477387,0.2967318114773869,0.35171057252261284
J08358+680,128.94437156732,68.06670261378,3449.66702160804,9.263809608039992,50.511698391959726,4.851086025125628,0.06645528512562837,0.020675094874372135,-0.143916568,0.04060808360000001,0.09210358428,3.1846555542713566,0.1883434182713568,0.2230377817286433
J08402+314,130.06766840126,31.45242630658,3380.9569512562816,27.00211925628173,31.667868743718373,4.898004321105527,0.061060977105526604,0.02614233489447315,-0.0038475581407035,0.1477530474592965,0.0403078321407035,2.4003655628140703,0.1714495988140703,0.2180511851859297
J08409-234,130.24445565917,-23.45269701927,3462.3094597989952,26.03528379899535,32.20818820100476,4.791567206532664,0.03095364653266408,0.059161137467335756,0.0518077542211055,0.0927833783011055,0.0258607828188945,2.1482438045226133,0.16607399252261335,0.28492506747738666
J08413+594,130.33159038955,59.49165865054,3050.302044723618,20.32246072361795,26.668231276381903,5.080713187939699,0.09507780393969867,0.04136929206030171,0.1120203652261306,0.1359782768661305,0.0822261955738694,3.494364817085428,0.5166503130854276,0.44028193091457224
J08526+283,133.16783218849,28.31525242185,3272.282454773869,19.96023877386915,38.448585226130945,4.902669912562814,0.058413324562813784,0.018406835437185798,0.1088829644221105,0.14305385162211048,0.024327171977889514,2.1267593130653264,0.3032011290653265,0.28225643093467356
J09005+465,135.13226060522,46.58408859435,3182.596486432161,23.96869843216109,20.737769567839223,4.971521285427136,0.03979050942713691,0.08784791457286367,-0.0190676376381909,0.16064103476180908,0.1386633320381909,3.7576039085427135,0.4239422045427137,0.22004309145728662
