Karmn,_RA,_DE,Tpr,s_Tpr,gpr,s_gpr,Teff1,e_Teff1,logg1,e_logg1,[Fe/H]1,e_[Fe/H]1,Corr1,e_Corr1,Teff2,e_Teff2,[Fe/H]2,e_[Fe/H]2,Corr2,e_Corr2,Pop,vsini,e_vsini
"J00051+457 ",1.29537,45.78656,3600,200,4.71,0.2,3773,16,5.07,0.08,-0.07,0.05,-0.04,0.05,3770,17,-0.23,0.03,-0.15,0.03,"YD  ",2.0,
"J00067-075 ",1.68,-7.53806,2900,200,5.22,0.2,3169,53,5.2,0.16,-0.22,0.22,-0.15,0.22,3137,36,-0.37,0.18,-0.25,0.18,"D   ",2.0,
J00162+198E,4.06729,19.86403,3200,200,4.94,0.2,3329,30,4.93,0.07,-0.18,0.09,-0.11,0.09,3327,25,-0.19,0.07,-0.12,0.07,TD-D,2.0,
"J00183+440 ",4.59533,44.02294,3500,200,4.79,0.2,3603,24,4.99,0.14,-0.75,0.11,-0.52,0.11,3603,23,-0.72,0.07,-0.49,0.1,"D   ",2.0,
"J00184+440 ",4.60758,44.02725,3200,200,5.12,0.2,3318,53,5.2,0.11,-0.53,0.17,-0.36,0.17,3302,61,-0.55,0.25,-0.38,0.25,"D   ",2.0,
"J00286-066 ",7.16442,-6.66367,3300,200,4.86,0.2,3419,28,4.81,0.08,-0.17,0.08,-0.11,0.08,3412,35,-0.21,0.1,-0.14,0.1,"D   ",2.0,
"J00389+306 ",9.746,30.61622,3500,200,4.81,0.2,3551,17,4.9,0.11,-0.24,0.07,-0.16,0.07,3563,15,-0.28,0.06,-0.19,0.06,"D   ",2.0,
"J00403+612 ",10.08871,61.21361,3700,200,4.77,0.2,3709,11,5.01,0.09,-0.02,0.03,0.0,0.03,3715,10,-0.18,0.03,-0.11,0.03,"YD  ",2.0,
"J00570+450 ",14.26121,45.08606,3300,200,4.86,0.2,3488,22,5.04,0.1,-0.04,0.05,-0.02,0.05,3491,21,-0.17,0.06,-0.11,0.06,"YD  ",2.0,
"J01013+613 ",15.33354,61.36575,3500,200,4.84,0.2,3564,19,5.05,0.08,-0.24,0.07,-0.16,0.07,3545,10,-0.24,0.04,-0.16,0.04,"D   ",2.0,
"J01019+541 ",15.49787,54.18269,2900,200,5.15,0.2,3070,13,5.12,0.03,-0.3,0.06,-0.2,0.06,3072,15,-0.34,0.04,-0.23,0.04,"D   ",30.6,3.1
"J01025+716 ",15.63433,71.67981,3400,200,4.74,0.2,3524,26,4.86,0.1,-0.08,0.07,-0.04,0.09,3516,21,-0.14,0.06,-0.08,0.06,"D   ",2.0,
"J01026+623 ",15.66196,62.34506,3600,200,4.69,0.2,3791,19,4.76,0.11,0.05,0.06,0.05,0.06,3782,18,-0.08,0.04,-0.04,0.04,"YD  ",2.0,
"J01033+623 ",15.83262,62.3655,3000,200,5.02,0.2,3057,49,5.12,0.18,-0.36,0.24,-0.24,0.24,3045,58,-0.37,0.13,-0.25,0.13,"YD  ",10.5,1.5
"J01048-181 ",16.22417,-18.12461,3000,200,5.16,0.2,3209,41,5.09,0.14,-0.16,0.17,-0.1,0.17,3200,33,-0.22,0.17,-0.15,0.17,"D   ",2.0,
"J01066+192 ",16.65404,19.22589,3400,200,4.88,0.2,3496,25,5.0,0.11,-0.08,0.07,-0.04,0.07,3495,22,-0.09,0.05,-0.05,0.05,"YD  ",2.0,
"J01125-169 ",18.12767,-16.999,3100,200,5.18,0.2,3228,46,5.24,0.16,-0.57,0.2,-0.39,0.2,3225,43,-0.65,0.22,-0.44,0.22,"D   ",2.0,
"J01339-176 ",23.49167,-17.63994,3200,200,4.94,0.2,3376,34,5.15,0.12,-0.2,0.08,-0.13,0.08,3424,19,-0.06,0.03,-0.03,0.03,"YD  ",2.0,
"J01352-072 ",23.808,-7.21431,3200,200,4.6,0.2,3052,12,4.73,0.15,-0.04,0.08,-0.02,0.08,3033,7,-0.12,0.09,-0.07,0.09,"YD  ",59.8,6.9
"J01433+043 ",25.83408,4.32167,3500,200,4.83,0.2,3547,20,5.1,0.17,-0.15,0.07,-0.09,0.07,3539,13,-0.22,0.04,-0.15,0.04,"D   ",2.0,
"J01518+644 ",27.96304,64.43497,3500,200,4.75,0.2,3625,21,5.04,0.1,-0.03,0.05,-0.01,0.05,3611,20,-0.14,0.05,-0.08,0.05,"YD  ",2.0,
"J02002+130 ",30.054,13.05194,3100,200,5.16,0.2,3237,32,5.22,0.14,-0.38,0.14,-0.25,0.14,3210,27,-0.51,0.28,-0.35,0.28,"D   ",2.0,
"J02015+637 ",30.39725,63.77,3400,200,4.77,0.2,3579,23,4.87,0.11,-0.14,0.08,-0.08,0.08,3549,22,-0.16,0.05,-0.1,0.05,"D   ",2.0,
"J02070+496 ",31.76608,49.64542,3400,200,4.9,0.2,3455,22,5.16,0.13,-0.12,0.06,-0.07,0.06,3471,22,-0.1,0.03,-0.06,0.03,"YD  ",2.0,
"J02088+494 ",32.22342,49.449,3300,200,4.83,0.2,3266,36,4.88,0.14,-0.24,0.19,-0.16,0.19,3270,37,-0.14,0.18,-0.08,0.18,"YD  ",24.1,2.4
"J02123+035 ",33.08746,3.57561,3700,200,4.81,0.2,3575,14,4.86,0.09,-0.72,0.06,-0.49,0.06,3571,14,-0.75,0.04,-0.52,0.04,"TD  ",2.0,
"J02222+478 ",35.561,47.88003,3900,200,4.7,0.2,3894,11,4.99,0.09,-0.01,0.04,0.0,0.04,3877,10,-0.2,0.03,-0.13,0.03,"D   ",2.0,
"J02336+249 ",38.40492,24.92714,3100,200,5.01,0.2,3313,24,5.19,0.1,-0.27,0.1,-0.18,0.1,3335,22,-0.06,0.05,-0.03,0.05,"D   ",3.0,1.5
"J02358+202 ",38.97212,20.21989,3500,200,4.7,0.2,3703,15,4.86,0.09,-0.04,0.04,-0.02,0.04,3696,16,-0.14,0.03,-0.08,0.03,"YD  ",2.0,
"J02362+068 ",39.06362,6.87164,3200,200,4.96,0.2,3335,45,4.91,0.1,-0.36,0.12,-0.24,0.12,3338,40,-0.34,0.11,-0.23,0.11,"D   ",2.0,
"J02442+255 ",41.06462,25.52336,3400,200,4.86,0.2,3510,21,4.97,0.11,-0.14,0.08,-0.08,0.08,3512,20,-0.18,0.06,-0.11,0.06,"YD  ",2.0,
J02489-145E,42.24696,-14.53747,3500,200,4.79,0.2,3572,27,4.94,0.12,0.0,0.04,0.0,0.04,3549,24,-0.1,0.03,-0.06,0.03,"YD  ",2.0,
J02489-145W,42.24696,-14.53747,3500,200,4.74,0.2,3655,25,4.98,0.1,0.04,0.05,0.04,0.05,3674,20,-0.13,0.04,-0.08,0.04,"YD  ",2.0,
"J02519+224 ",42.97542,22.45831,3200,200,4.71,0.2,3158,42,4.68,0.17,-0.06,0.19,-0.03,0.19,3176,33,-0.15,0.16,-0.09,0.16,"YD  ",27.2,2.7
"J02530+168 ",43.25371,16.88128,2800,200,5.31,0.2,3034,45,5.19,0.2,-0.17,0.28,-0.11,0.28,3031,34,0.01,0.25,0.01,0.25,"TD  ",2.0,
J02565+554W,44.14342,55.43725,3700,200,4.63,0.2,3832,10,4.65,0.12,-0.07,0.04,-0.04,0.04,3830,10,-0.09,0.02,-0.05,0.02,"D   ",2.0,
"J03133+047 ",48.3455,4.77481,3000,200,5.11,0.2,3214,40,5.06,0.16,-0.1,0.17,-0.06,0.17,3208,39,-0.21,0.15,-0.14,0.15,"D   ",2.0,
"J03181+382 ",49.53117,38.25206,3600,200,4.63,0.2,3826,15,4.61,0.14,-0.02,0.05,0.0,0.05,3825,14,-0.01,0.03,0.0,0.03,"D   ",2.0,
"J03213+799 ",50.34075,79.96728,3500,200,4.81,0.2,3599,14,5.12,0.1,-0.32,0.07,-0.21,0.08,3580,13,-0.41,0.05,-0.28,0.05,"D   ",2.0,
"J03217-066 ",50.4455,-6.67339,3600,200,4.77,0.2,3661,17,5.16,0.08,0.01,0.04,0.01,0.04,3683,18,-0.19,0.04,-0.12,0.04,"YD  ",2.0,
"J03463+262 ",56.58392,26.2155,3900,200,4.67,0.2,3949,12,4.83,0.09,0.01,0.04,0.01,0.04,3941,12,-0.08,0.02,-0.04,0.02,"YD  ",3.3,4.0
"J03473-019 ",56.84725,-1.97219,3400,200,4.73,0.2,3473,72,4.85,0.18,-0.26,0.15,-0.18,0.15,3437,76,-0.26,0.18,-0.18,0.18,"YD  ",5.2,1.5
"J03531+625 ",58.2935,62.56892,3500,200,4.88,0.2,3501,23,5.04,0.11,-0.28,0.1,-0.19,0.1,3506,22,-0.26,0.09,-0.18,0.09,"TD  ",2.0,
"J04153-076 ",63.83975,-7.65575,3100,200,4.98,0.2,3179,61,5.0,0.18,-0.44,0.17,-0.3,0.17,3180,69,-0.41,0.18,-0.28,0.18,TD-D,2.1,1.5
"J04167-120 ",64.19,-12.08403,3700,200,4.62,0.2,3961,13,5.01,0.09,0.15,0.04,0.15,0.04,3922,14,0.0,0.02,0.0,0.02,"D   ",2.0,
"J04198+425 ",64.96721,42.55844,2400,200,5.29,0.2,,,,,,,,,,,,,,,"D   ",3.6,2.3
"J04225+105 ",65.63329,10.52189,3300,200,4.75,0.2,3546,25,4.71,0.1,-0.1,0.07,-0.06,0.07,3536,24,-0.07,0.04,-0.04,0.04,"YD  ",2.0,
"J04290+219 ",67.2505,21.92269,4000,200,4.59,0.2,4123,20,4.48,0.15,0.05,0.06,0.05,0.03,4130,21,0.06,0.03,0.06,0.03,"D   ",3.9,1.5
"J04311+589 ",67.79796,58.97706,3200,200,4.94,0.2,3382,39,4.89,0.1,-0.25,0.11,-0.17,0.11,3365,35,-0.24,0.1,-0.16,0.1,"D   ",2.0,
"J04343+430 ",68.59375,43.03742,3400,200,4.74,0.2,3525,25,4.86,0.11,-0.14,0.09,-0.08,0.09,3533,22,-0.19,0.06,-0.12,0.06,"D   ",2.0,
"J04376+528 ",69.42054,52.89361,3900,200,4.66,0.2,4039,20,4.94,0.07,-0.21,0.05,-0.14,0.05,4005,9,-0.42,0.03,-0.28,0.03,"D   ",3.4,1.5
"J04376-110 ",69.42446,-11.03889,3600,200,4.78,0.2,3666,16,5.08,0.12,-0.08,0.06,-0.04,0.06,3682,17,-0.25,0.04,-0.17,0.04,"D   ",2.0,
"J04429+189 ",70.73242,18.95817,3500,200,4.73,0.2,3678,16,5.13,0.08,-0.01,0.03,0.0,0.03,3667,16,-0.18,0.03,-0.11,0.03,"D   ",2.0,
"J04429+214 ",70.73275,21.47306,3400,200,4.85,0.2,3499,24,4.9,0.08,-0.02,0.04,0.0,0.04,3495,20,-0.02,0.03,0.0,0.03,"D   ",2.0,
"J04472+206 ",71.80104,20.63633,3000,200,4.82,0.2,3096,14,5.12,0.07,-0.11,0.04,-0.06,0.04,3075,12,-0.59,0.04,-0.4,0.04,"YD  ",47.6,26.8
"J04520+064 ",73.02387,6.47656,3200,200,4.82,0.2,3439,30,4.83,0.08,-0.13,0.06,-0.08,0.06,3447,30,-0.1,0.06,-0.06,0.06,"D   ",2.0,
"J04538-177 ",73.45825,-17.77342,3500,200,4.81,0.2,3582,17,5.04,0.11,-0.47,0.08,-0.32,0.08,3569,16,-0.62,0.06,-0.42,0.06,"D   ",2.0,
"J04588+498 ",74.71071,49.84928,3900,200,4.65,0.2,3983,13,5.07,0.08,0.02,0.03,0.02,0.03,3981,15,-0.21,0.03,-0.14,0.03,"D   ",2.0,
"J05019+011 ",75.48608,1.14525,3200,200,4.66,0.2,3217,75,4.66,0.18,-0.29,0.26,-0.2,0.26,3207,80,-0.3,0.25,-0.2,0.25,"YD  ",6.5,1.5
"J05019-069 ",75.48929,-6.94622,3100,200,5.09,0.2,3284,27,5.13,0.13,-0.32,0.13,-0.21,0.13,3296,26,-0.08,0.04,-0.04,0.04,"D   ",2.0,
"J05033-173 ",76.10821,-17.72861,3300,200,4.95,0.2,3464,27,5.08,0.1,-0.2,0.09,-0.13,0.09,3475,26,-0.16,0.06,-0.1,0.06,"YD  ",2.0,
"J05062+046 ",76.55387,4.65756,3100,200,4.68,0.2,3134,42,4.72,0.19,0.1,0.16,0.1,0.16,3116,38,0.1,0.16,0.1,0.16,"YD  ",24.9,2.5
"J05084-210 ",77.11375,-21.029,3000,200,4.59,0.2,3233,22,4.52,0.1,-0.55,0.07,-0.38,0.07,3244,19,-0.52,0.06,-0.36,0.06,"YD  ",25.2,2.5
"J05127+196 ",78.17596,19.66567,3500,200,4.78,0.2,3599,13,4.91,0.11,-0.48,0.07,-0.33,0.07,3697,14,-0.22,0.03,-0.15,0.03,"D   ",2.0,
"J05280+096 ",82.00062,9.64394,3300,200,5.02,0.2,3440,27,5.05,0.11,-0.24,0.09,-0.16,0.09,3438,23,-0.23,0.08,-0.15,0.08,"D   ",2.0,
"J05314-036 ",82.86417,-3.67722,3700,200,4.66,0.2,3850,27,4.71,0.18,0.05,0.08,0.05,0.08,3833,17,0.02,0.04,0.02,0.04,"D   ",2.0,
"J05337+019 ",83.43667,1.94542,3400,200,4.8,0.2,3428,32,4.98,0.1,-0.1,0.07,-0.06,0.07,3440,29,-0.16,0.05,-0.1,0.05,"YD  ",9.8,1.5
"J05348+138 ",83.71717,13.87964,3300,200,4.85,0.2,3464,28,4.85,0.08,-0.12,0.07,-0.07,0.07,3463,28,-0.12,0.07,-0.07,0.07,"YD  ",2.0,
"J05360-076 ",84.00033,-7.64956,3200,200,4.87,0.2,3422,29,4.81,0.08,-0.19,0.06,-0.12,0.06,3384,19,-0.29,0.08,-0.2,0.08,"D   ",2.0,
"J05365+113 ",84.12912,11.32786,3900,200,4.65,0.2,4067,14,5.04,0.07,0.01,0.03,0.01,0.03,4001,6,-0.22,0.02,-0.15,0.02,"YD  ",3.8,1.5
"J05366+112 ",84.16025,11.29689,3200,200,4.94,0.2,3355,23,5.17,0.16,-0.29,0.1,-0.2,0.1,3411,18,-0.04,0.03,-0.02,0.03,"YD  ",2.4,1.5
"J05394+406 ",84.85337,40.64522,2500,200,5.27,0.2,,,,,,,,,,,,,,,"D   ",4.1,1.5
"J05415+534 ",85.37804,53.48981,3800,200,4.71,0.2,3825,14,4.94,0.1,-0.04,0.06,-0.02,0.06,3829,14,-0.2,0.04,-0.13,0.04,"YD  ",2.0,
"J05421+124 ",85.53862,12.48933,3200,200,5.01,0.2,3324,38,4.93,0.08,-0.44,0.11,-0.3,0.11,3295,35,-0.44,0.1,-0.3,0.1,"TD  ",2.0,
"J06000+027 ",90.01458,2.70656,3200,200,5.01,0.2,3296,19,5.12,0.14,-0.29,0.13,-0.2,0.13,3323,17,-0.04,0.03,-0.02,0.03,"YD  ",4.9,1.5
"J06011+595 ",90.29604,59.59719,3300,200,4.98,0.2,3431,35,4.97,0.12,-0.22,0.13,-0.15,0.13,3389,40,-0.11,0.09,-0.06,0.09,"YD  ",2.0,
"J06024+498 ",90.62162,49.86561,3000,200,5.17,0.2,3213,35,5.17,0.14,-0.15,0.13,-0.09,0.13,3201,32,-0.2,0.14,-0.13,0.14,"YD  ",2.0,
"J06103+821 ",92.58271,82.10675,3500,200,4.81,0.2,3554,20,4.95,0.13,-0.24,0.07,-0.16,0.07,3547,13,-0.24,0.05,-0.16,0.05,"D   ",2.0,
"J06105-218 ",92.64425,-21.86464,3700,200,4.7,0.2,3801,13,4.98,0.09,-0.05,0.05,-0.02,0.05,3813,11,-0.19,0.04,-0.12,0.04,"YD  ",2.0,
"J06246+234 ",96.172,23.43303,3200,200,5.14,0.2,3249,24,5.1,0.09,-0.67,0.1,-0.46,0.1,3253,21,-0.63,0.09,-0.43,0.09,"D   ",2.0,
"J06318+414 ",97.96142,41.49597,3000,200,4.81,0.2,3084,13,4.88,0.07,-0.06,0.05,-0.03,0.05,3026,12,-0.14,0.05,-0.08,0.05,"YD  ",58.4,26.1
"J06371+175 ",99.295,17.56481,3800,200,4.8,0.2,3803,10,5.2,0.07,-0.63,0.04,-0.43,0.04,3820,11,-0.68,0.04,-0.46,0.04,TD-D,2.0,
"J06396-210 ",99.90587,-21.02589,3200,200,4.94,0.2,3428,33,5.09,0.12,-0.08,0.07,-0.04,0.07,3438,27,-0.07,0.06,-0.04,0.06,"D   ",2.0,
"J06421+035 ",100.54662,3.58128,3300,200,4.82,0.2,3475,27,4.88,0.08,-0.13,0.08,-0.08,0.08,3485,26,-0.15,0.07,-0.09,0.07,"D   ",2.0,
"J06548+332 ",103.704,33.26817,3400,200,4.87,0.2,3503,37,4.88,0.12,-0.2,0.12,-0.13,0.12,3497,33,-0.16,0.09,-0.1,0.09,"YD  ",2.0,
"J06574+740 ",104.35892,74.09067,3200,200,4.94,0.2,3173,24,5.06,0.13,-0.1,0.06,-0.06,0.06,3133,11,-0.01,0.01,0.0,0.01,"D   ",27.1,2.7
"J06594+193 ",104.87008,19.34886,2800,200,5.17,0.2,3146,38,5.09,0.17,-0.16,0.19,-0.1,0.19,3158,33,-0.1,0.22,-0.06,0.22,"D   ",2.0,
"J07033+346 ",105.84654,34.69761,3200,200,4.98,0.2,3310,26,5.13,0.12,-0.36,0.11,-0.24,0.11,3386,30,-0.03,0.03,-0.01,0.03,"D   ",2.0,
"J07044+682 ",106.10808,68.28881,3400,200,4.81,0.2,3527,21,4.82,0.09,-0.16,0.08,-0.1,0.08,3527,19,-0.18,0.06,-0.11,0.06,"D   ",2.0,
"J07274+052 ",111.85208,5.22578,3200,200,4.91,0.2,3380,43,4.96,0.11,-0.17,0.11,-0.11,0.11,3382,45,-0.19,0.11,-0.12,0.11,"D   ",2.0,
"J07287-032 ",112.18933,-3.29814,3300,200,4.81,0.2,3511,21,4.82,0.08,-0.2,0.07,-0.13,0.07,3519,18,-0.22,0.06,-0.15,0.06,"D   ",2.0,
J07319+362N,112.98883,36.22983,3200,200,4.79,0.2,3289,32,5.1,0.13,-0.15,0.09,-0.09,0.09,3248,19,-0.93,0.05,-0.63,0.05,"YD  ",2.0,
"J07353+548 ",113.84117,54.84972,3500,200,4.86,0.2,3564,17,5.03,0.11,-0.42,0.07,-0.28,0.07,3572,13,-0.42,0.05,-0.28,0.05,"YD  ",2.0,
"J07361-031 ",114.0295,-3.11078,3700,200,4.7,0.2,3825,12,5.06,0.08,-0.07,0.05,-0.04,0.05,3841,9,-0.3,0.03,-0.2,0.03,"D   ",3.1,1.5
"J07386-212 ",353.36317,-8.92956,3300,200,4.92,0.2,3488,24,4.95,0.09,-0.16,0.07,-0.1,0.07,3490,21,-0.14,0.06,-0.08,0.06,"D   ",2.0,
"J07393+021 ",114.846,2.18367,3800,200,4.64,0.2,3980,11,5.03,0.06,0.01,0.03,0.01,0.03,3984,10,-0.17,0.03,-0.11,0.03,"YD  ",2.0,
"J07403-174 ",115.08071,-17.41275,2800,200,5.29,0.2,3031,26,5.03,0.17,0.04,0.18,0.04,0.18,3050,22,0.2,0.11,0.2,0.11,"D   ",2.0,
"J07446+035 ",116.16737,3.55247,3100,200,4.87,0.2,3251,34,5.11,0.14,-0.57,0.24,-0.39,0.24,3248,36,-0.63,0.17,-0.43,0.17,"YD  ",4.0,1.5
"J07472+503 ",116.80779,50.34403,3200,200,4.97,0.2,3251,59,4.92,0.18,-0.14,0.18,-0.08,0.18,3255,50,-0.2,0.25,-0.13,0.25,"D   ",10.1,1.5
"J07558+833 ",118.97471,83.38469,3200,200,4.98,0.2,3252,55,4.8,0.19,-0.36,0.21,-0.24,0.21,3253,50,-0.23,0.19,-0.15,0.19,"YD  ",12.1,1.5
"J07582+413 ",119.55292,41.30369,3200,200,4.95,0.2,3431,28,4.87,0.1,-0.22,0.08,-0.15,0.08,3438,26,-0.23,0.1,-0.15,0.1,"D   ",2.0,
"J08023+033 ",120.59533,3.33881,3300,200,4.86,0.2,3422,26,4.72,0.09,-0.36,0.09,-0.24,0.09,3416,27,-0.24,0.08,-0.16,0.08,"TD  ",2.0,
"J08119+087 ",122.98983,8.77306,3200,200,5.17,0.2,3245,23,5.24,0.08,-0.72,0.09,-0.49,0.09,3225,16,-0.8,0.07,-0.55,0.07,"TD  ",2.0,
"J08126-215 ",123.17037,-21.55194,3100,200,4.93,0.2,3356,44,4.88,0.12,-0.26,0.15,-0.18,0.15,3334,32,-0.22,0.1,-0.15,0.1,"D   ",2.0,
"J08161+013 ",124.03325,1.30258,3600,200,4.81,0.2,3570,18,4.98,0.14,-0.25,0.07,-0.17,0.07,3564,14,-0.3,0.06,-0.2,0.06,"D   ",2.0,
"J08293+039 ",127.34129,3.91925,3500,200,4.73,0.2,3651,17,4.97,0.13,-0.06,0.06,-0.03,0.06,3658,13,-0.19,0.04,-0.12,0.04,"YD  ",2.0,
"J08298+267 ",127.45562,26.776,2700,200,5.28,0.2,2997,49,5.16,0.18,0.01,0.19,0.01,0.19,3054,30,-0.16,0.16,-0.1,0.16,"YD  ",10.5,1.5
"J08315+730 ",127.8755,73.06272,3300,200,4.96,0.2,3364,42,4.9,0.1,-0.3,0.1,-0.2,0.1,3358,25,-0.32,0.1,-0.21,0.1,"D   ",2.0,
"J08358+680 ",128.95433,68.06919,3400,200,4.85,0.2,3496,16,5.11,0.1,-0.07,0.05,-0.04,0.05,3480,20,-0.16,0.04,-0.1,0.04,"D   ",2.0,
"J08402+314 ",130.06658,31.45189,3300,200,4.94,0.2,3426,23,4.88,0.09,-0.2,0.07,-0.13,0.07,3428,23,-0.15,0.07,-0.09,0.07,TD-D,2.0,
"J08409-234 ",130.24671,-23.45628,3300,200,4.78,0.2,3496,37,4.78,0.09,-0.05,0.08,-0.02,0.08,3489,35,-0.05,0.05,-0.02,0.05,TD-D,2.0,
"J08413+594 ",130.33387,59.49733,3000,200,5.23,0.2,3141,38,5.28,0.17,-0.12,0.16,-0.07,0.16,3124,35,-0.14,0.15,-0.08,0.15,"D   ",2.0,
"J08526+283 ",133.17025,28.31633,3100,200,4.94,0.2,3321,37,4.87,0.08,-0.16,0.11,-0.1,0.11,3308,39,-0.24,0.12,-0.16,0.12,"YD  ",2.0,
"J08536-034 ",133.40067,-3.49228,2300,200,5.33,0.2,,,,,,,,,,,,,,,"D   ",9.3,2.8
"J09003+218 ",135.09812,21.83469,2700,200,5.28,0.2,3061,43,5.17,0.21,-0.02,0.18,0.0,0.18,3088,36,-0.1,0.15,-0.06,0.15,"YD  ",14.3,1.5
"J09005+465 ",135.13533,46.58642,3100,200,5.04,0.2,3293,30,5.16,0.14,-0.06,0.08,-0.03,0.08,3286,32,-0.12,0.12,-0.07,0.12,"YD  ",2.0,
